INFO    2023-03-19 07:00:50,796 [AWT-EventQueue-0] com.grocery.main.sub.Login  login - EMP7 Login Successfully
WARN    2023-03-19 08:28:01,292 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 08:28:01,293 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 08:28:01,294 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 08:28:01,295 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 08:28:01,295 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 08:28:01,297 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 08:28:01,297 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
WARN    2023-03-19 08:28:01,299 [AWT-EventQueue-0] net.sf.jasperreports.engine.xml.JRTextFieldFactory  createObject - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
INFO    2023-03-19 08:28:38,995 [AWT-EventQueue-0] com.grocery.main.sub.Home  btn_logoutActionPerformed - EMP7 Logout Successfully
INFO    2023-03-19 08:29:00,388 [AWT-EventQueue-0] com.grocery.main.sub.Login  login - EMP7 Login Successfully
INFO    2023-03-19 08:29:00,388 [AWT-EventQueue-0] com.grocery.main.sub.Login  login - EMP7 Login Successfully
INFO    2023-03-19 08:29:07,430 [AWT-EventQueue-0] com.grocery.main.sub.Home  btn_logoutActionPerformed - EMP7 Logout Successfully
INFO    2023-03-19 08:29:07,430 [AWT-EventQueue-0] com.grocery.main.sub.Home  btn_logoutActionPerformed - EMP7 Logout Successfully
INFO    2023-03-19 08:29:43,587 [AWT-EventQueue-0] com.grocery.main.sub.Login  login - EMP7 Login Successfully
INFO    2023-03-19 08:29:53,980 [AWT-EventQueue-0] com.grocery.main.sub.Home  btn_logoutActionPerformed - EMP7 Logout Successfully
